App Name,Category,One-line description,Authentication method,Self Serve or Gated,API Type,API Surface,Existing MCP,Buildability Verdict,Main Blocker,Evidence URL
Salesforce,CRM and Sales,"India's #1 agentic crm automate better sales, service, and marketing with humans and ai agents working together on one trusted, agentic crm platform.",API key,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://salesforce.com
HubSpot,CRM and Sales,Full (color) english select a language 日本語 deutsch english español português français high contrast customer support contact sales close about about about us careers contact us investor relations management team back close products products,SSO,Gated,Unknown,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://hubspot.com
Pipedrive,CRM and Sales,Pipedrive skip to main content features pipeline management lead management sales inbox sales automation reporting and analytics email sync and tracking pipedrive ai leadbooster integrations and marketplace mobile crm app email marketing se,SSO,Gated,Unknown,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://pipedrive.com
Attio,CRM and Sales,The system for agentic revenue orchestrate revenue agents with the new workflows platform crm platform ask attio and create with ai ai native to your crm data model sync and enrich your data universal context the ai context layer agents and,"OAuth, SSO",Gated,REST,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://attio.com
Twenty,CRM and Sales,#1 open source crm product customers 49.,"API key, OAuth, SSO",Gated,GraphQL,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://twenty.com
Podio,CRM and Sales,Now find more product info at our new website here or read the blog to learn more.,Unknown,Self Serve,REST,Medium,Yes,Partially buildable,Authentication requirements are not clearly documented.,https://podio.com
Zoho CRM,CRM and Sales,Rated sales crm software by customers the easiest ai crm for growth.,Unknown,Gated,Unknown,Unknown,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://zoho.com/crm
Close,CRM and Sales,In ai sales agent product the platform the crm built for action.,API key,Self Serve,REST,Large,Yes,Buildable,No obvious blocker found in the collected evidence.,https://close.com
Copper,CRM and Sales,"Copper crm product organize contacts keep all your relationships in one place track deals set up the pipelines that work for you manage projects build workflows that keep everything moving elevate emails build, personalize, scale and automa",SSO,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://copper.com
DealCloud,CRM and Sales,Firm ai intapp assist back intapp assist for dealcloud intapp assist for terms intapp assist for time ai document summaries intapp integration service growth intapp dealcloud back relationship management (crm) business development marketing,"API key, SSO",Gated,Unknown,Medium,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://dealcloud.com
Zendesk,Support and Helpdesk,Join live workshops to assess ai readiness and build a plan to scale agentic service.,API key,Gated,Unknown,Large,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://zendesk.com
Intercom,Support and Helpdesk,The only helpdesk designed for the ai agent era fin contact sales view demo start free trial product customers contact sales view demo start free trial fin ai agent our ai agent and ai architecture trained specifically for customer service.,Unknown,Gated,Unknown,Large,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://intercom.com
Freshdesk,Support and Helpdesk,"Freshworks english contact sales login skip to main content products ai platform demo try it free products ai platform demo languages contact sales login try it free freshdesk customer service that puts people first with freshdesk, ai handl",Unknown,Gated,Unknown,Large,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://freshdesk.com
Front,Support and Helpdesk,"Path automation copilot ai help that actually gets complexity smart qa qa minus the blind spots smart csat csat without the lies more features omnichannel all the channels, zero chaos ticketing complexity in, clarity out live chat chat peop","API key, OAuth, SSO",Gated,REST,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://front.com
Pylon,Support and Helpdesk,Native b2b support register for our upcoming webinar → pylon's biggest announcement yet product omnichannel support support modern channels ai knowledge management make documentation easy ai agents automate complex b2b workflows ai assistan,SSO,Gated,REST,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://usepylon.com
LiveAgent,Support and Helpdesk,Service options live chat fastest live chat on the market social media chat with followers in liveagent call center manage and route all your calls use for business solutions smart tools for every business type industry solutions adapt live,Unknown,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://liveagent.com
Plain,Support and Helpdesk,"Try for free in beta build support your way break free from the duct tape, the rigid workflows, and the lock.","API key, Bearer token",Gated,REST,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://plain.com
Help Scout,Support and Helpdesk,"1 demo start for free product inbox every support channel, one place ai scale your team's capacity knowledge base build a custom help center messages send proactive alerts, surveys, & more insights & analytics turn signals into action apps.",SSO,Gated,Unknown,Large,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://helpscout.com
Gorgias,Support and Helpdesk,> see what’s new spring 2026 release conversations that raise the bar designed for enterprise trusted by largest shopify brands to deliver winning experiences industries clothing & apparel subscriptions beauty & cosmetics health & wellness.,Unknown,Gated,Unknown,Medium,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://gorgias.com
Gladly,Support and Helpdesk,Gladly skip to main content why gladly product solutions schedule a live tour back why gladly product solutions schedule a live tour x the only ai built for ltv cx that drives customer devotion.,API key,Gated,REST,Large,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://gladly.com
Slack,Communications and Messaging,Ai work platform and productivity tools skip to main content see what’s new in slack app marketplace download slack features collaboration channels organise teams and work slack connect work with external partners messaging chat with your t,"API key, OAuth",Gated,Unknown,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://slack.com
Twilio,Communications and Messaging,Twilio english an icon of a down chevron english an icon of a checkmark french german japanese portuguese spanish support an icon of a down chevron help center support plans partner solutions login an icon of a down chevron to twilio consol,Unknown,Gated,Unknown,Medium,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://twilio.com
Zoho Cliq,Communications and Messaging,Zoho cliq business communication software for teams work how you want from wherever you want.,Unknown,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://zoho.com/cliq
Lark,Communications and Messaging,Lark is a SaaS product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://open.larksuite.com
Pumble,Communications and Messaging,Free business communication tool pumble team communication clockify time tracking plaky project management powered by product solutions sign up sign up features communication channels messages threads notifications collaboration files guest,SSO,Gated,Unknown,Medium,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://pumble.com
Discord,Communications and Messaging,Group chat that’s all fun & games skip to main content download 1 of 9 nitro 2 of 9 discover 3 of 9 server directory 1 of 2 trending games 2 of 2 safety 4 of 9 family center 1 of 10 safety library 2 of 10 safety news 3 of 10 teen charter 4,"API key, SSO",Self Serve,REST,Large,No,Buildable,No obvious blocker found in the collected evidence.,https://discord.com
Telegram,Communications and Messaging,Telegram apis follow on x home faq apps api protocol schema telegram apis we offer three kinds of apis for developers.,"API key, SSO",Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://core.telegram.org
WhatsApp Business,Communications and Messaging,Verified phone numbers api groups groups invite link api groups join requests api groups participants api groups query api media media api media download api message history whatsapp business message history events api user assigned whatsap,API key,Self Serve,REST,Large,Yes,Buildable,No obvious blocker found in the collected evidence.,https://developers.facebook.com/docs/whatsapp
Aircall,Communications and Messaging,Aircall enjoy the game with free unlimited aiva minutes until july 19.,Unknown,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://aircall.io
Vonage,Communications and Messaging,Vonage is a communications and messaging product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://developer.vonage.com
Google Ads,Marketing Ads Email and Social,Google for developers skip to main content google ads / english deutsch español español.,Unknown,Self Serve,Unknown,Large,No,Blocked,No public API or API documentation was found in the collected evidence.,https://developers.google.com/google-ads
Meta Ads,Marketing Ads Email and Social,Based lookalikes engagement custom audiences mobile app custom audiences website custom audiences offline custom audiences dynamic audiences audience network ads reach estimate api special ad category targeting guides reference basic target,Unknown,Self Serve,REST,Large,Yes,Partially buildable,Authentication requirements are not clearly documented.,https://developers.facebook.com/docs/marketing-apis
LinkedIn Ads,Marketing Ads Email and Social,Microsoft learn skip to main content this browser is no longer supported.,Unknown,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://learn.microsoft.com/linkedin/marketing
GoHighLevel,Marketing Ads Email and Social,It's time to take your agency to the next level start your 14 day free trial today!,Unknown,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://gohighlevel.com
Mailchimp,Marketing Ads Email and Social,Mailchimp skip to main content save 50% for 12 months.,Unknown,Gated,Unknown,Large,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://mailchimp.com
Klaviyo,Marketing Ads Email and Social,"B2c crm skip to main content platform overview the b2c crm discover how the klaviyo crm, built for your business, can help you create lasting customer relationships.",Unknown,Self Serve,Unknown,Large,Yes,Blocked,No public API or API documentation was found in the collected evidence.,https://klaviyo.com
systeme.io,Marketing Ads Email and Social,The only tool you need to launch your online business en ⌄ why systeme.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://systeme.io
Pinterest,Marketing Ads Email and Social,Pinterest is a SaaS product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://pinterest.com
Threads,Marketing Ads Email and Social,Threads is a SaaS product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://threads.net
SendGrid,Marketing Ads Email and Social,Twilio english an icon of a down chevron english an icon of a checkmark french german japanese portuguese spanish support an icon of a down chevron help center support plans partner solutions login an icon of a down chevron to twilio consol,Unknown,Gated,Unknown,Medium,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://sendgrid.com
Shopify,Ecommerce,Shopify why shopify back get started fast you could be selling by tomorrow.,SSO,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://shopify.com
WooCommerce,Ecommerce,Woocommerce skip to navigation develop on woo hire an expert get support sell extensions enterprise ecommerce the most flexible ecommerce platform woocommerce is the open.,API key,Self Serve,REST,Medium,Yes,Buildable,No obvious blocker found in the collected evidence.,https://woocommerce.com
BigCommerce,Ecommerce,BigCommerce is a ecommerce product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://bigcommerce.com
Salesforce Commerce Cloud,Ecommerce,Salesforce Commerce Cloud is a ecommerce product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://commerce.salesforce.com
Magento,Ecommerce,Magento is a ecommerce product.,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://adobe.com/commerce/magento
Squarespace,Ecommerce,Squarespace skip to main content products solutions preise undefined undefined account dashboard domains log out get started start a free trial products website websites → website templates → ai website builder → detelligence → ecommerce →,Unknown,Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://squarespace.com
Ecwid,Ecommerce,#1 ecommerce shopping cart & online store.,SSO,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://ecwid.com
Gumroad,Ecommerce,Earn your first dollar online with gumroad 9.,"API key, SSO",Self Serve,Unknown,Unknown,No,Blocked,No public API or API documentation was found in the collected evidence.,https://gumroad.com
